Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_BL;BL_NumAssets
2022-01-01;ALLIANZ SE ORD;DE0008404005;84816277328.0;91.0608;A;Financials;DAX;2022-01-03;2022-12-30;True;Top;4;0.15577660221788195;10
2022-01-01;BASF SE ORD;DE000BASF111;56743613715.0;90.7225;A;Basic Materials;DAX;2022-01-03;2022-12-30;True;Top;5;0.003712484558766291;10
2022-01-01;ADIDAS ORD;DE000A1EWWW0;48639720000.0;89.8495;A;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Top;6;1.2423431601439245e-17;10
2022-01-01;BMW AG;DE0005190003;57499180877.0;89.7912;A;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Top;7;1.1203160234917632e-18;10
2022-01-01;MERCK ORD;DE0006599905;98694578306.0;86.5125;A;Healthcare;DAX;2022-01-03;2022-12-30;True;Top;8;1.474602662682677e-17;10
2022-01-01;DEUTSCHE TELEKOM AG ORD;DE0005557508;81279275115.0;86.4699;A;Technology;DAX;2022-01-03;2022-12-30;True;Top;9;0.0;10
2022-01-01;FRESENIUS MEDICAL CARE ORD;DE0005785802;16742267930.0;86.1184;A;Healthcare;DAX;2022-01-03;2022-12-30;True;Top;10;0.0;10
2023-01-01;PORSCHE SE VZ PRF;DE000PAH0038;15692250000.0;10.8454;D;Consumer Cyclicals;DAX;2023-01-02;2023-12-29;True;Bottom;1;0.0;10
2023-01-01;BRENNTAG ORD;DE000A1DAHH0;9226740000.0;61.7025;B;Basic Materials;DAX;2023-01-02;2023-12-29;True;Bottom;2;1.5788694136820158e-17;10
2023-01-01;RWE ST A ORD;DE0007037129;28123991796.0;62.1557;B;Utilities;DAX;2023-01-02;2023-12-29;True;Bottom;3;0.05504112919325528;10
2023-01-01;E.ON ORD;DE000ENAG999;24654069679.0;65.3219;B;Utilities;DAX;2023-01-02;2023-12-29;True;Bottom;4;0.10504791974921651;10
2023-01-01;BEIERSDORF ORD;DE0005200000;27014400000.0;66.2686;B;Consumer Non-Cyclicals;DAX;2023-01-02;2023-12-29;True;Bottom;5;0.21111025425068297;10
2023-01-01;ZALANDO ORD SHS;DE000ZAL1111;8725533660.0;68.2408;B+;Technology;DAX;2023-01-02;2023-12-29;True;Bottom;6;1.3118846287074604e-17;10
2023-01-01;DEUTSCHE BOERSE AG ORD;DE0005810055;30666000000.0;72.0559;B+;Financials;DAX;2023-01-02;2023-12-29;True;Bottom;7;0.40869568114776894;10
2023-01-01;FRESENIUS SE ORD;DE0005785604;14784978521.0;73.0151;B+;Healthcare;DAX;2023-01-02;2023-12-29;True;Bottom;8;0.11323863266048333;10
2023-01-01;SIEMENS ENERGY AG ORD;DE000ENER6Y0;12770789267.0;73.818;B+;Energy;DAX;2023-01-02;2023-12-29;True;Bottom;9;0.06719248335240334;10
2023-01-01;DEUTSCHE POST ORD;DE0005552004;43590110009.0;74.0891;B+;Industrials;DAX;2023-01-02;2023-12-29;True;Bottom;10;0.039673899646189614;10
2023-01-01;BAYER AG;DE000BAY0017;47475643763.0;92.7709;A+;Healthcare;DAX;2023-01-02;2023-12-29;True;Top;1;0.3356533674027497;10
2023-01-01;BMW AG;DE0005190003;54919971826.0;92.3719;A+;Consumer Cyclicals;DAX;2023-01-02;2023-12-29;True;Top;2;0.19639928179603933;10
2023-01-01;MERCEDES-BENZ GROUP AG ORD;DE0007100000;65688019246.0;90.5796;A;Consumer Cyclicals;DAX;2023-01-02;2023-12-29;True;Top;3;8.321251673826247e-18;10
2023-01-01;BASF SE ORD;DE000BASF111;41465930156.0;90.1569;A;Basic Materials;DAX;2023-01-02;2023-12-29;True;Top;4;0.0;10
2023-01-01;SAP SE ORD;DE0007164600;118000000000.0;89.5104;A;Technology;DAX;2023-01-02;2023-12-29;True;Top;5;0.29801165105133176;10
2023-01-01;ALLIANZ SE ORD;DE0008404005;81025781796.0;88.7551;A;Financials;DAX;2023-01-02;2023-12-29;True;Top;6;0.08107117015490246;10
2023-01-01;ADIDAS ORD;DE000A1EWWW0;22942800000.0;88.5579;A;Consumer Cyclicals;DAX;2023-01-02;2023-12-29;True;Top;7;0.0;10
2023-01-01;MUNICH RE ORD;DE0008430026;42590075024.0;87.6418;A;Financials;DAX;2023-01-02;2023-12-29;True;Top;8;0.0;10
