Period;Index;PortfolioSide;Strategy;NumMonths;Alpha_Monthly;Alpha_tstat;Alpha_pvalue;Beta_Mkt;Beta_SMB;Beta_HML;R_squared;Alpha_Annualised
2020-2024;SP100;Top;Annual_MCap_MinusBenchmark;60;0.014;0.042;0.9663;-0.092;-0.143;-0.114;0.154;0.169
2020-2024;SP100;Top;Annual_RiskParity;60;-0.302;-0.976;0.3289;0.778;-0.103;0.298;0.775;-3.618
2020-2024;SP100;Top;Annual_RiskParity_MinusBenchmark;60;-0.508;-1.533;0.1252;-0.223;0.159;0.369;0.419;-6.097
2020-2024;SP100;Top;BuyHold_Equal;60;-0.347;-1.471;0.1413;0.799;-0.228;0.063;0.821;-4.169
2020-2024;SP100;Top;BuyHold_Equal_MinusBenchmark;60;-0.517;-2.093;0.0363;-0.116;-0.145;-0.165;0.306;-6.207
2020-2024;SP100;Top;BuyHold_MCap;60;0.037;0.11;0.9128;0.857;-0.373;-0.213;0.776;0.448
2020-2024;SP100;Top;BuyHold_MCap_MinusBenchmark;60;-0.109;-0.317;0.7516;-0.138;-0.129;-0.146;0.227;-1.31
2020-2024;SP100;TopMinusBottom;Annual_BlackLitterman;60;0.04;0.075;0.9405;-0.038;0.025;-0.48;0.279;0.481
2020-2024;SP100;TopMinusBottom;Annual_Equal;60;-0.496;-1.429;0.153;-0.164;0.18;0.113;0.104;-5.957
2020-2024;SP100;TopMinusBottom;Annual_MCap;60;0.079;0.169;0.8656;-0.097;-0.001;-0.339;0.192;0.951
2020-2024;SP100;TopMinusBottom;Annual_RiskParity;60;-0.287;-0.81;0.4177;-0.19;0.18;0.087;0.112;-3.438
2020-2024;SP100;TopMinusBottom;BuyHold_Equal;60;-0.45;-1.397;0.1625;-0.178;0.081;-0.166;0.174;-5.395
2020-2024;SP100;TopMinusBottom;BuyHold_MCap;60;-0.146;-0.326;0.7442;-0.142;0.097;-0.306;0.181;-1.751
